name,team,age,gp,wins,losses,min,ortg,drtg,netrtg,astp,ato,orbp,drbp,toratio,efg,tsp,usg,pace,pie
Jayson Tatum,BOS,20,19,11,8,35.9,105.9,102.2,3.7,13.1,1.27,13.1,1.7,12.6,7.1,10.3,51.5,57.8,23.6
Aron Baynes,BOS,31,19,11,8,20.5,103.5,106.4,-2.9,7.7,2.38,15.3,12.6,21.1,16.8,6.5,56.7,58.8,12.4
Terry Rozier,BOS,24,19,11,8,36.6,105.8,105.2,0.6,25.8,4.95,25.9,1.3,15.6,8.3,5.2,50.2,53.8,20.7
Al Horford,BOS,31,19,11,8,35.7,107.2,103,4.2,15.5,1.97,19,5.4,21.6,13.4,9.6,58.1,63.1,18.5
Marcus Morris,BOS,28,19,11,8,29.6,106.2,105,1.2,6.2,1.11,7.3,3.9,17.8,10.6,6.6,43.5,47.4,21.9
Jaylen Brown,BOS,21,18,10,8,32.4,106.2,105.5,0.7,8.2,1.13,7.7,3,14.4,8.5,6.8,54.9,56.3,24.5
LeBron James,CLE,33,18,12,6,41.3,109.3,106.4,2.9,45.1,2.14,21.8,3.7,23.2,13.7,10.2,58.2,61.9,36.2
Jeff Green,CLE,31,18,12,6,23.7,105.2,105.9,-0.7,9.1,1.6,13.9,1.4,11.4,6.6,8.7,51.8,55.9,16.4
Kyle Korver,CLE,37,18,12,6,24.4,109.8,104.2,5.6,5.7,1.33,10,1.1,11.3,6.2,7.5,64,66.4,15.3
JR Smith,CLE,32,18,12,6,32,111,106.9,4.1,5.1,1.25,10.6,1.3,8.5,5,8.4,47.6,49.8,13.9
Trevor Ariza,HOU,32,17,11,6,34.2,108.3,102.8,5.5,5.5,2.2,11.9,1.7,11,6.3,5.4,45.3,48.8,12.6
James Harden,HOU,28,17,11,6,36.5,108.8,104.3,4.6,35.6,1.78,18.6,2.5,13.9,8.2,10.4,47.8,54.8,36.7
PJ Tucker,HOU,33,17,11,6,33.5,109.6,103.4,6.2,5.5,1.57,14.5,4.7,18,11.3,9.2,64.4,65.1,10.3
Shaun Livingston,GSW,32,17,12,5,17.5,111.2,104.5,6.8,12.2,1.67,17.3,3.8,9.7,6.8,10.4,48.4,52.8,17.5
Gerald Green,HOU,32,17,11,6,16,106.4,111.3,-4.9,0.6,0.1,0.9,2.4,17.1,9.8,9.3,53.7,55.1,17.7
Clint Capela,HOU,24,17,11,6,30.6,107.4,105.3,2.1,6.9,1.47,10.7,12.8,29.8,21.1,7.3,66,64.2,15.7
Klay Thompson,GSW,28,17,12,5,38,109,99.7,9.3,8.2,1.31,9.4,1.9,10,6,7.2,55.7,57.3,22.8
Kevon Looney,GSW,22,17,12,5,20.5,108.7,96.2,12.4,7.3,2.25,18.3,11.4,12.9,12.2,8.1,52.3,52.4,10.1
Eric Gordon,HOU,29,17,11,6,32.3,106.1,107.5,-1.4,8.3,1.17,9.3,1.8,7,4.4,8,47.7,52.9,21.9
Draymond Green,GSW,28,17,12,5,38.4,110.6,98,12.6,27.9,2.36,36.3,6.6,25.6,16.4,15.4,47.2,51.8,16.5
Kevin Love,CLE,29,17,11,6,31,106.7,104.1,2.6,8.5,0.75,9.1,8.1,31.5,19.7,12.1,45.1,50.4,24.1
Kevin Durant,GSW,29,17,12,5,37.8,112,101.3,10.6,18.3,1.68,13.2,2,17.8,10.2,7.8,53.2,59.5,31.4
Jordan Clarkson,CLE,25,17,12,5,15.3,102.3,113,-10.7,7.2,1.09,8.8,3.5,9.7,6.5,8.1,35.9,37.3,22
Semi Ojeleye,BOS,23,17,10,7,13.5,101.1,107.3,-6.2,1.3,1,5,2,12.2,7.1,5,39.4,44.3,7.7
Nick Young,GSW,32,16,11,5,10.5,102.4,99.4,3,3.4,2,8.1,0.6,5.8,3.1,4,51.3,54,11.5
