name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Al Horford,BOS,31,8,5,3,39,27,5,13,38.5,0,4,0,17,21,81,0,7,7,5,2,3,1,3,52.9,4,0,14
LeBron James,CLE,33,8,7,1,31,35,11,24,45.8,3,8,37.5,10,14,71.4,0,6,6,5,1,0,2,1,54.7,6,1,34
Jeff Green,CLE,31,8,7,1,10,2,0,2,0,0,2,0,2,4,50,0,3,3,1,0,0,0,1,7.1,0,0,9
JR Smith,CLE,32,8,7,1,31,6,2,5,40,1,3,33.3,1,2,50,0,3,3,0,0,2,1,1,18.6,0,0,36
Terry Rozier,BOS,24,8,5,3,36,28,7,12,58.3,4,7,57.1,10,11,90.9,0,7,7,5,0,2,0,3,49.9,0,0,15
Kevin Love,CLE,29,7,6,1,24,3,1,5,20,1,3,33.3,0,0,0,1,9,10,2,1,0,1,3,20,2,0,27
Marcus Morris,BOS,28,7,4,3,27,6,2,7,28.6,1,4,25,1,2,50,2,3,5,3,0,0,0,1,16.5,1,0,17
Jayson Tatum,BOS,20,7,4,3,36,21,8,15,53.3,0,0,0,5,8,62.5,1,3,4,3,3,0,1,4,30.3,1,0,4
Jaylen Brown,BOS,21,7,4,3,31,14,6,11,54.5,1,4,25,1,2,50,3,1,4,0,0,0,0,4,18.8,0,0,8
Kyle Korver,CLE,37,7,7,0,23,14,4,7,57.1,4,7,57.1,2,2,100,0,1,1,1,1,0,0,4,15.7,0,0,30
Robert Covington,PHI,27,5,1,4,9,2,0,2,0,0,2,0,2,2,100,0,1,1,0,0,0,0,1,3.2,0,0,-9
Marcus Smart,BOS,24,5,4,1,20,5,1,4,25,0,2,0,3,6,50,3,2,5,2,0,1,0,2,17,0,0,13
Draymond Green,GSW,28,5,2,3,11,8,3,4,75,1,1,100,1,2,50,2,3,5,1,1,0,0,3,14.5,4,0,-6
George Hill,CLE,32,5,5,0,12,6,2,4,50,0,1,0,2,4,50,0,1,1,1,1,0,0,3,7.7,0,0,16
JJ Redick,PHI,33,5,1,4,23,14,5,10,50,2,5,40,2,2,100,0,2,2,2,1,0,0,1,18.4,0,0,-3
Victor Oladipo,IND,26,5,1,4,13,4,1,6,16.7,0,3,0,2,4,50,0,3,3,2,2,0,0,0,8.6,2,0,-21
Thaddeus Young,IND,29,5,1,4,12,4,2,2,100,0,0,0,0,0,0,2,2,4,0,0,0,0,4,8.8,2,0,-21
Dario Saric,PHI,24,5,1,4,15,11,4,7,57.1,1,1,100,2,2,100,3,1,4,1,2,0,1,2,18.3,1,0,-7
Kevin Durant,GSW,29,5,2,3,11,6,1,5,20,0,1,0,4,5,80,0,0,0,0,0,0,1,1,9,2,0,-6
Klay Thompson,GSW,28,5,2,3,11,2,0,3,0,0,2,0,2,2,100,0,2,2,0,0,0,0,1,4.4,0,0,-6
Bojan Bogdanovic,IND,29,5,1,4,11,5,2,6,33.3,1,3,33.3,0,0,0,1,1,2,1,0,0,0,2,8.9,0,0,-13
Kyle Lowry,TOR,32,5,2,3,21,10,3,6,50,0,1,0,4,5,80,0,1,1,2,1,0,0,0,13.2,2,0,-9
Ben Simmons,PHI,21,5,1,4,24,8,4,8,50,0,0,0,0,0,0,2,3,5,5,3,0,1,1,21.5,1,1,-8
Joel Embiid,PHI,24,4,1,3,22,7,2,9,22.2,0,1,0,3,3,100,4,2,6,3,3,0,0,7,15.7,4,0,-4
Clint Capela,HOU,24,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,8
