name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Al Horford,BOS ,31,2,2,100%,2,4,50,50,75.00%,2,3,66.7,25.00%,0,1,0
DeMar DeRozan,TOR ,28,1,1,100%,2,4,50,50,75.00%,2,3,66.7,25.00%,0,1,0
LeBron James,CLE ,33,1,1,100%,0,4,0,0,75.00%,0,3,0,25.00%,0,1,0
Jayson Tatum,BOS ,20,2,2,100%,3,3,100,100,100%,3,3,100,0.00%,0,0,-
Malcolm Brogdon,MIL ,25,1,1,100%,1,3,33.3,33.3,33.30%,1,1,100,66.70%,0,2,0
Marco Belinelli,PHI ,32,1,1,100%,1,3,33.3,33.3,33.30%,1,1,100,66.70%,0,2,0
Terry Rozier,BOS ,24,2,2,100%,1,3,33.3,50,66.70%,0,2,0,33.30%,1,1,100
Ben Simmons,PHI ,21,1,1,100%,1,3,33.3,33.3,100%,1,3,33.3,0.00%,0,0,-
Khris Middleton,MIL ,26,1,1,100%,0,3,0,0,66.70%,0,2,0,33.30%,0,1,0
JJ Redick,PHI ,33,1,1,100%,2,2,100,125,50.00%,1,1,100,50.00%,1,1,100
Giannis Antetokounmpo,MIL ,23,1,1,100%,2,2,100,100,100%,2,2,100,0.00%,0,0,-
Jaylen Brown,BOS ,21,2,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Kyle Lowry,TOR ,32,1,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Tristan Thompson,CLE ,27,1,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Kyle Korver,CLE ,37,1,1,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
Tony Snell,MIL ,26,1,1,100%,0,2,0,0,0.00%,0,0,-,100%,0,2,0
JR Smith,CLE ,32,1,1,100%,1,1,100,150,0.00%,0,0,-,100%,1,1,100
Joel Embiid,PHI ,24,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Fred VanVleet,TOR ,24,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Ersan Ilyasova,PHI ,31,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Kevin Love,CLE ,29,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Eric Bledsoe,MIL ,28,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Marcus Morris,BOS ,28,2,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
