name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Klay Thompson,GSW ,28,17,17,100%,49,97,50.5,61.3,53.60%,28,52,53.8,46.40%,21,45,46.7
James Harden,HOU ,28,17,17,100%,38,92,41.3,48.4,51.10%,25,47,53.2,48.90%,13,45,28.9
LeBron James,CLE ,33,18,18,100%,57,86,66.3,69.2,86.00%,52,74,70.3,14.00%,5,12,41.7
Kevin Durant,GSW ,29,17,17,100%,38,73,52.1,56.8,71.20%,31,52,59.6,28.80%,7,21,33.3
Terry Rozier,BOS ,24,19,19,100%,27,68,39.7,50.7,44.10%,12,30,40,55.90%,15,38,39.5
Chris Paul,HOU ,33,15,15,100%,32,66,48.5,56.1,62.10%,22,41,53.7,37.90%,10,25,40
Eric Gordon,HOU ,29,17,17,100%,27,62,43.5,56.5,40.30%,11,25,44,59.70%,16,37,43.2
Jayson Tatum,BOS ,20,19,19,100%,23,56,41.1,46.4,71.40%,17,40,42.5,28.60%,6,16,37.5
Marcus Morris,BOS ,28,19,18,100%,22,53,41.5,50.9,62.30%,12,33,36.4,37.70%,10,20,50
Kevin Love,CLE ,29,16,14,100%,25,51,49,55.9,62.70%,18,32,56.3,37.30%,7,19,36.8
Anthony Davis,NOP ,25,9,9,100%,27,48,56.3,56.3,95.80%,27,46,58.7,4.20%,0,2,0
Stephen Curry,GSW ,30,11,11,100%,22,48,45.8,51,56.30%,17,27,63,43.80%,5,21,23.8
Al Horford,BOS ,31,19,16,100%,31,46,67.4,71.7,73.90%,27,34,79.4,26.10%,4,12,33.3
Jaylen Brown,BOS ,21,18,16,100%,24,44,54.5,67,43.20%,13,19,68.4,56.80%,11,25,44
Donovan Mitchell,UTA ,21,11,11,100%,18,43,41.9,45.3,60.50%,15,26,57.7,39.50%,3,17,17.6
Jordan Clarkson,CLE ,25,17,16,100%,17,40,42.5,50,62.50%,11,25,44,37.50%,6,15,40
Marcus Smart,BOS ,24,15,15,100%,16,40,40,43.8,52.50%,13,21,61.9,47.50%,3,19,15.8
Joel Embiid,PHI ,24,8,8,100%,17,39,43.6,46.2,79.50%,15,31,48.4,20.50%,2,8,25
Kyle Korver,CLE ,37,16,14,100%,22,38,57.9,75,36.80%,9,14,64.3,63.20%,13,24,54.2
Jeff Green,CLE ,31,18,15,100%,20,38,52.6,59.2,57.90%,15,22,68.2,42.10%,5,16,31.3
Nikola Mirotic,NOP ,27,9,9,100%,19,38,50,60.5,60.50%,11,23,47.8,39.50%,8,15,53.3
Russell Westbrook,OKC ,29,6,6,100%,15,37,40.5,40.5,83.80%,15,31,48.4,16.20%,0,6,0
Clint Capela,HOU ,24,17,12,100%,28,36,77.8,77.8,100%,28,36,77.8,0.00%,0,0,-
PJ Tucker,HOU ,33,17,14,100%,22,36,61.1,80.6,25.00%,8,9,88.9,75.00%,14,27,51.9
DeMar DeRozan,TOR ,28,10,10,100%,16,33,48.5,51.5,87.90%,14,29,48.3,12.10%,2,4,50
Draymond Green,GSW ,28,17,14,100%,14,33,42.4,47,48.50%,11,16,68.8,51.50%,3,17,17.6
Jrue Holiday,NOP ,27,9,9,100%,17,32,53.1,59.4,68.80%,13,22,59.1,31.30%,4,10,40
Trevor Ariza,HOU ,32,17,14,100%,14,32,43.8,53.1,43.80%,8,14,57.1,56.30%,6,18,33.3
