name,team,age,rafgm,rafma,rafgp,paintfgm,paintfga,paintfgp,mrfgm,mrfga,mrfgp,lcfgm,lcfga,lcfgp,rcfgm,rcfga,rcfgp,atbfgm,atbfga,atbfgp
Aaron Brooks,MIN,33,2,2,100,0,0,0,0,0,0,-,-,-,0,0,0,0,1,0
Aaron Jackson,HOU,32,2,2,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Abdel Nader,BOS,24,3,7,42.9,1,1,100,1,3,33.3,0,0,0,0,0,0,0,4,0
Al Horford,BOS,31,57,79,72.2,24,47,51.1,15,35,42.9,0,3,0,2,3,66.7,13,37,35.1
Al-Farouq Aminu,POR,27,11,15,73.3,1,4,25,2,3,66.7,2,5,40,3,4,75,8,21,38.1
Alec Burks,UTA,26,13,21,61.9,3,16,18.8,5,7,71.4,2,4,50,3,3,100,4,13,30.8
Alex Abrines,OKC,24,1,3,33.3,0,1,0,1,3,33.3,2,2,100,1,2,50,3,9,33.3
Amir Johnson,PHI,31,9,16,56.3,2,5,40,0,0,0,0,0,0,0,0,0,0,0,0
Andre Iguodala,GSW,34,22,31,71,1,4,25,1,7,14.3,1,5,20,1,4,25,9,22,40.9
Andrew Wiggins,MIN,23,15,22,68.2,4,11,36.4,4,14,28.6,1,3,33.3,1,4,25,5,14,35.7
Ante Zizic,CLE,21,2,4,50,0,2,0,0,1,0,0,0,0,-,-,-,0,0,0
Anthony Davis,NOP,25,62,90,68.9,20,43,46.5,18,49,36.7,0,1,0,0,1,0,6,19,31.6
Aron Baynes,BOS,31,28,43,65.1,2,9,22.2,4,14,28.6,4,7,57.1,5,8,62.5,2,8,25
Bam Adebayo,MIA,20,5,12,41.7,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0
Ben Simmons,PHI,21,49,76,64.5,10,38,26.3,2,10,20,0,0,0,0,0,0,0,1,0
Bojan Bogdanovic,IND,29,11,14,78.6,3,12,25,1,10,10,4,10,40,1,4,25,12,31,38.7
