name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Josh Richardson,MIA,24,50,27,23,210,75,24,56,42.9,5,18,27.8,22,25,88,8,20,28,15,13,8,5,20,157.1,0,0,47
Jrue Holiday,NOP,27,48,29,19,223,133,53,105,50.5,8,20,40,19,34,55.9,7,23,30,35,14,16,5,20,270.5,3,1,58
Khris Middleton,MIL,26,47,26,21,174,109,31,70,44.3,6,26,23.1,41,46,89.1,4,30,34,14,11,2,4,30,177.8,4,0,11
Allen Crabbe,BKN,26,47,17,30,172,51,15,45,33.3,11,28,39.3,10,10,100,5,22,27,7,8,4,6,15,115.9,0,0,-52
E'Twaun Moore,NOP,29,46,29,17,184,45,19,41,46.3,4,16,25,3,4,75,2,11,13,11,5,3,1,15,84.1,0,0,51
DeMarre Carroll,BKN,31,46,17,29,166,69,21,45,46.7,11,20,55,16,23,69.6,11,25,36,4,4,8,2,21,144.2,11,0,-55
Russell Westbrook,OKC,29,46,24,22,187,171,65,158,41.1,11,53,20.8,30,46,65.2,13,48,61,37,19,5,2,24,301.7,35,14,-11
LeBron James,CLE,33,45,30,15,151,197,72,129,55.8,14,44,31.8,39,60,65,10,42,52,32,18,6,5,10,322.4,33,12,87
CJ McCollum,POR,26,45,25,20,175,108,37,93,39.8,8,28,28.6,26,36,72.2,7,16,23,14,6,6,2,18,174.6,1,0,9
Ben Simmons,PHI,21,45,26,19,147,73,23,35,65.7,0,1,0,27,48,56.3,8,21,29,26,11,14,2,21,183.8,23,9,53
Goran Dragic,MIA,32,45,24,21,196,92,31,70,44.3,7,19,36.8,23,26,88.5,7,26,33,20,9,5,0,25,167.6,3,0,35
Carmelo Anthony,OKC,33,44,24,20,173,57,22,76,28.9,7,34,20.6,6,11,54.5,10,20,30,8,3,4,3,16,123,3,0,11
Bradley Beal,WAS,24,44,21,23,179,123,38,124,30.6,8,39,20.5,39,55,70.9,1,26,27,18,16,7,2,19,193.4,3,0,-10
Paul George,OKC,28,42,22,20,169,89,21,55,38.2,11,28,39.3,36,43,83.7,4,19,23,7,10,9,2,18,150.1,3,0,-11
Jayson Tatum,BOS,20,42,26,16,144,78,30,51,58.8,6,10,60,12,15,80,2,26,28,9,12,3,6,12,140.1,3,0,11
DeMar DeRozan,TOR,28,41,23,18,158,173,53,119,44.5,5,15,33.3,62,76,81.6,7,19,26,17,11,5,1,9,236.7,0,0,15
Victor Oladipo,IND,26,41,24,17,143,144,45,101,44.6,16,48,33.3,38,45,84.4,4,19,23,14,20,10,3,19,211.6,3,0,65
Karl-Anthony Towns,MIN,22,41,22,19,166,53,20,48,41.7,7,18,38.9,6,8,75,9,31,40,9,5,1,7,21,133.5,34,0,2
Harrison Barnes,DAL,25,41,9,32,144,89,32,74,43.2,6,22,27.3,19,27,70.4,5,23,28,10,12,3,0,11,134.6,4,0,-112
Andrew Wiggins,MIN,23,41,21,20,171,74,26,60,43.3,5,16,31.3,17,26,65.4,7,17,24,5,5,1,4,14,120.3,1,0,-16
Anthony Davis,NOP,25,41,27,14,187,140,48,93,51.6,0,8,0,44,52,84.6,13,45,58,8,9,8,13,9,275.6,29,0,88
Eric Bledsoe,MIL,28,41,22,19,158,113,36,78,46.2,10,32,31.3,31,40,77.5,6,18,24,17,19,9,6,20,193.3,2,0,15
Bojan Bogdanovic,IND,29,41,25,16,119,44,12,24,50,5,13,38.5,15,16,93.8,2,19,21,2,4,3,0,12,77.2,0,0,61
Giannis Antetokounmpo,MIL,23,41,23,18,150,113,41,70,58.6,1,9,11.1,30,41,73.2,10,38,48,16,7,10,7,20,238.6,27,0,30
Spencer Dinwiddie,BKN,25,41,17,24,160,103,32,94,34,7,41,17.1,32,43,74.4,9,18,27,25,7,4,3,22,186.9,7,0,-25
Will Barton,DEN,27,41,21,20,163,86,23,61,37.7,7,25,28,33,35,94.3,3,18,21,12,11,4,3,9,139.2,2,0,26
Tobias Harris,LAC,25,41,18,23,128,47,18,45,40,5,18,27.8,6,6,100,4,19,23,7,4,4,0,8,93.1,1,0,-39
Steven Adams,OKC,24,41,19,22,165,40,16,22,72.7,0,0,0,8,16,50,31,12,43,2,3,3,3,27,109.6,16,0,-1
Taj Gibson,MIN,32,40,22,18,149,38,12,18,66.7,0,0,0,14,20,70,12,25,37,4,1,3,4,17,108.4,9,0,-20
Rondae Hollis-Jefferson,BKN,23,40,15,25,119,48,20,36,55.6,0,1,0,8,9,88.9,11,21,32,5,6,5,3,16,111.9,9,0,-43
Kyle Lowry,TOR,32,40,24,16,138,72,19,49,38.8,9,26,34.6,25,31,80.6,3,25,28,10,12,6,2,20,132.6,10,2,21
Lou Williams,LAC,31,40,20,20,116,88,28,69,40.6,7,27,25.9,25,29,86.2,2,11,13,11,9,3,0,15,120.1,4,0,-13
Damian Lillard,POR,27,39,21,18,151,127,39,88,44.3,12,33,36.4,37,41,90.2,4,19,23,16,11,6,1,12,188.6,6,0,5
Yogi Ferrell,DAL,25,39,9,30,118,24,7,26,26.9,3,15,20,7,12,58.3,5,13,18,2,3,2,0,16,51.6,3,0,-93
