name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
DeMar DeRozan,TOR ,28,6,6,100%,9,24,37.5,39.6,79.20%,8,19,42.1,20.80%,1,5,20
Jrue Holiday,NOP ,27,9,7,100%,14,21,66.7,69,95.20%,13,20,65,4.80%,1,1,100
Anthony Davis,NOP ,25,9,7,100%,10,20,50,50,85.00%,10,17,58.8,15.00%,0,3,0
Eric Bledsoe,MIL ,28,6,5,100%,11,19,57.9,68.4,57.90%,7,11,63.6,42.10%,4,8,50
Spencer Dinwiddie,BKN ,25,6,5,100%,5,19,26.3,28.9,42.10%,4,8,50,57.90%,1,11,9.1
DeMarcus Cousins,NOP ,27,6,6,100%,6,16,37.5,37.5,62.50%,6,10,60,37.50%,0,6,0
Kyle Kuzma,LAL ,22,7,7,100%,6,16,37.5,46.9,50.00%,3,8,37.5,50.00%,3,8,37.5
Jimmy Butler,MIN ,28,5,5,100%,8,15,53.3,63.3,73.30%,5,11,45.5,26.70%,3,4,75
Bradley Beal,WAS ,24,6,6,100%,5,14,35.7,39.3,64.30%,4,9,44.4,35.70%,1,5,20
Dwyane Wade,MIA ,36,5,5,100%,5,13,38.5,38.5,92.30%,5,12,41.7,7.70%,0,1,0
Russell Westbrook,OKC ,29,4,4,100%,5,13,38.5,38.5,69.20%,5,9,55.6,30.80%,0,4,0
Kelly Olynyk,MIA ,27,8,7,100%,4,13,30.8,38.5,46.20%,2,6,33.3,53.80%,2,7,28.6
Kemba Walker,CHA ,28,4,4,100%,8,12,66.7,91.7,41.70%,2,5,40,58.30%,6,7,85.7
James Johnson,MIA ,31,7,5,100%,9,11,81.8,86.4,81.80%,8,9,88.9,18.20%,1,2,50
Will Barton,DEN ,27,7,5,100%,8,11,72.7,90.9,45.50%,4,5,80,54.50%,4,6,66.7
John Wall,WAS ,27,3,3,100%,6,10,60,60,70.00%,6,7,85.7,30.00%,0,3,0
Kyrie Irving,BOS ,26,3,3,100%,6,10,60,60,80.00%,6,8,75,20.00%,0,2,0
Josh Richardson,MIA ,24,8,5,100%,5,10,50,50,80.00%,5,8,62.5,20.00%,0,2,0
Kristaps Porzingis,NYK ,22,4,3,100%,4,10,40,50,40.00%,2,4,50,60.00%,2,6,33.3
Kentavious Caldwell-Pope,LAL ,25,6,5,100%,4,10,40,50,30.00%,2,3,66.7,70.00%,2,7,28.6
Donovan Mitchell,UTA ,21,3,3,100%,3,10,30,40,20.00%,1,2,50,80.00%,2,8,25
Ish Smith,DET ,29,4,4,100%,2,10,20,25,50.00%,1,5,20,50.00%,1,5,20
Lonzo Ball,LAL ,20,5,4,100%,5,9,55.6,61.1,55.60%,4,5,80,44.40%,1,4,25
Goran Dragic,MIA ,32,8,5,100%,5,9,55.6,66.7,55.60%,3,5,60,44.40%,2,4,50
Nikola Jokic,DEN ,23,6,5,100%,4,9,44.4,55.6,55.60%,2,5,40,44.40%,2,4,50
Kris Dunn,CHI ,24,3,3,100%,3,9,33.3,33.3,88.90%,3,8,37.5,11.10%,0,1,0
Khris Middleton,MIL ,26,6,6,100%,3,9,33.3,38.9,66.70%,2,6,33.3,33.30%,1,3,33.3
Giannis Antetokounmpo,MIL ,23,4,4,100%,3,9,33.3,33.3,77.80%,3,7,42.9,22.20%,0,2,0
Otto Porter Jr.,WAS ,24,5,4,100%,2,9,22.2,33.3,33.30%,0,3,0,66.70%,2,6,33.3
Yogi Ferrell,DAL ,25,4,4,100%,2,9,22.2,22.2,33.30%,2,3,66.7,66.70%,0,6,0
Lauri Markkanen,CHI ,21,5,5,100%,5,8,62.5,75,37.50%,3,3,100,62.50%,2,5,40
Andre Drummond,DET ,24,5,4,100%,5,8,62.5,62.5,87.50%,5,7,71.4,12.50%,0,1,0
CJ McCollum,POR ,26,3,3,100%,4,8,50,50,87.50%,4,7,57.1,12.50%,0,1,0
Blake Griffin,DET ,29,4,4,100%,3,8,37.5,50,25.00%,1,2,50,75.00%,2,6,33.3
Harrison Barnes,DAL ,25,4,4,100%,2,8,25,25,62.50%,2,5,40,37.50%,0,3,0
Kevin Durant,GSW ,29,2,2,100%,6,7,85.7,100,57.10%,4,4,100,42.90%,2,3,66.7
Dennis Smith Jr.,DAL ,20,4,3,100%,4,7,57.1,64.3,71.40%,3,5,60,28.60%,1,2,50
Zach Randolph,SAC ,36,2,2,100%,3,7,42.9,57.1,42.90%,1,3,33.3,57.10%,2,4,50
Allen Crabbe,BKN ,26,6,4,100%,3,7,42.9,64.3,28.60%,0,2,0,71.40%,3,5,60
Fred VanVleet,TOR ,24,5,3,100%,3,7,42.9,57.1,42.90%,1,3,33.3,57.10%,2,4,50
Nikola Mirotic,NOP ,27,5,3,100%,3,7,42.9,50,42.90%,2,3,66.7,57.10%,1,4,25
Jamal Murray,DEN ,21,6,5,100%,3,7,42.9,50,57.10%,2,4,50,42.90%,1,3,33.3
Dion Waiters,MIA ,26,1,1,100%,3,7,42.9,50,57.10%,2,4,50,42.90%,1,3,33.3
Karl-Anthony Towns,MIN ,22,4,3,100%,2,7,28.6,35.7,71.40%,1,5,20,28.60%,1,2,50
Kyle Lowry,TOR ,32,5,4,100%,2,7,28.6,35.7,42.90%,1,3,33.3,57.10%,1,4,25
LeBron James,CLE ,33,2,2,100%,5,6,83.3,91.7,66.70%,4,4,100,33.30%,1,2,50
Michael Beasley,NYK ,29,4,3,100%,5,6,83.3,83.3,100%,5,6,83.3,0.00%,0,0,-
Jaylen Brown,BOS ,21,3,3,100%,4,6,66.7,75,66.70%,3,4,75,33.30%,1,2,50
