name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Tobias Harris,LAC ,25,80,80,100%,219,444,49.3,58.4,60.10%,138,267,51.7,39.90%,81,177,45.8
LeBron James,CLE ,33,82,82,100%,264,434,60.8,64.2,82.70%,235,359,65.5,17.30%,29,75,38.7
Anthony Davis,NOP ,25,74,73,100%,235,421,55.8,57.5,92.40%,221,389,56.8,7.60%,14,32,43.8
Andrew Wiggins,MIN ,23,82,82,100%,199,414,48.1,51.9,76.30%,167,316,52.8,23.70%,32,98,32.7
DeMar DeRozan,TOR ,28,80,80,100%,191,394,48.5,51.8,75.90%,165,299,55.2,24.10%,26,95,27.4
Bradley Beal,WAS ,24,82,82,100%,183,385,47.5,53.9,64.20%,134,247,54.3,35.80%,49,138,35.5
James Harden,HOU ,28,72,72,100%,200,383,52.2,62.7,49.30%,120,189,63.5,50.70%,80,194,41.2
Russell Westbrook,OKC ,29,78,78,100%,177,383,46.2,47.5,91.60%,167,351,47.6,8.40%,10,32,31.3
LaMarcus Aldridge,SAS ,32,75,75,100%,214,379,56.5,59,89.70%,195,340,57.4,10.30%,19,39,48.7
Damian Lillard,POR ,27,73,72,100%,168,375,44.8,54.4,46.70%,96,175,54.9,53.30%,72,200,36
Khris Middleton,MIL ,26,81,81,100%,184,374,49.2,54.3,71.70%,146,268,54.5,28.30%,38,106,35.8
Paul George,OKC ,28,78,78,100%,186,361,51.5,62.5,55.70%,107,201,53.2,44.30%,79,160,49.4
Harrison Barnes,DAL ,25,77,77,100%,170,358,47.5,52.8,71.80%,132,257,51.4,28.20%,38,101,37.6
Kevin Durant,GSW ,29,68,66,100%,194,348,55.7,61.9,71.00%,151,247,61.1,29.00%,43,101,42.6
Carmelo Anthony,OKC ,33,76,76,100%,152,337,45.1,52.4,62.60%,103,211,48.8,37.40%,49,126,38.9
Dwight Howard,CHA ,32,81,80,100%,206,333,61.9,61.9,100%,206,333,61.9,0.00%,0,0,-
CJ McCollum,POR ,26,81,80,100%,162,333,48.6,57.1,63.10%,106,210,50.5,36.90%,56,123,45.5
Giannis Antetokounmpo,MIL ,23,74,74,100%,185,332,55.7,58,89.20%,170,296,57.4,10.80%,15,36,41.7
Jrue Holiday,NOP ,27,80,80,100%,159,322,49.4,54.5,72.40%,126,233,54.1,27.60%,33,89,37.1
Donovan Mitchell,UTA ,21,79,79,100%,147,322,45.7,53.9,53.70%,94,173,54.3,46.30%,53,149,35.6
Victor Oladipo,IND ,26,74,74,100%,162,315,51.4,57.9,71.70%,121,226,53.5,28.30%,41,89,46.1
Kemba Walker,CHA ,28,80,79,100%,150,315,47.6,57.9,51.70%,85,163,52.1,48.30%,65,152,42.8
Marc Gasol,MEM ,33,73,72,100%,149,313,47.6,51.9,76.00%,122,238,51.3,24.00%,27,75,36
Aaron Gordon,ORL ,22,58,57,100%,145,304,47.7,54.4,60.90%,104,185,56.2,39.10%,41,119,34.5
Goran Dragic,MIA ,32,74,73,100%,156,301,51.8,57.5,71.40%,122,215,56.7,28.60%,34,86,39.5
